,weights,value
0,w0,20.8783
1,w1,-0.0
2,w2,0.0
3,w3,-0.0
4,w4,0.0
5,w5,-0.0
6,w6,0.0
7,w7,-0.0
8,w8,0.0
9,w9,-0.0
10,w10,-0.6043
11,w11,-0.0
12,w12,0.0
13,w13,-3.9311
